category,verses
حكمة,['الوقت أثمن كنز فاحتفظ به']
حكمة,['النفس حيث يجعلها المرء تظل منقادة']
حكمة,['المرء يشقيه قبيح فعاله ويسعده حسن الفعال']
حكمة,['الشدائد تعرف الأصدقاء وتكشف الأعداء']
حكمة,['الحياة طيف زائل فاطلب السلامة']
حكمة,['الدنيا حطام زائل فيها شقاء وأسى']
حكمة,['من التاريخ موعظة وحكمة للمعتبر']
حكمة,['الجهاد حياة والخمول ردّى']
حكمة,['البخيل يفني عمره بجمع المال']
حكمة,['اسأل عن كل شيء فقد يعوض الله']
حكمة,['إذا ذهب الوفاء فقل سلام على المحبة']
حكمة,['كثرة الأخلاء تعب في قضاء الحقوق']
حكمة,['رب ضحكة جرّتها دموع']
حكمة,['لنيل المعالي أكرم الأخيار']
حكمة,['كم من غني بخيل وكم من فقير جواد']
حكمة,['الصمت خير من نطق يجر الخطاء']
حكمة,['لا خير في الهزل فالتمس بالجد حظك']
حكمة,['العلم ينفع أهله في الدنيا والآخرة']
حكمة,['لا تضيع الفرص فإذا فاتت عاتب القدر']
حكمة,['الدهر دولتان فكن من أهل الحذر']
حكمة,['كل كرب بعده فرج']
حكمة,['الناس كالأشجار منها الثمار ومنها الوقود']
حكمة,['الرزق كالظل يتبعك إذا ولّيت']
حكمة,['بلطف الله يحيي القلوب اليابسة']
حكمة,['حسن الظن بالله سر السعادة']
حكمة,['كل امرئ يميل إلى من يشاكله']
حكمة,['إذا افتقرت إلى الذخائر فصالح الأعمال خير ذخر']
حكمة,['ليس للمرء خير في حياة يعد فيها من سقط المتاع']
حكمة,['المعروف حلو المذاق جميل الوجه']
حكمة,['الصدق منجاة وقربة إلى الرب']
حكمة,['الموت أهون من ذل الحياة']
حكمة,['كل يوم يمر نقص من الأجل']
حكمة,['ما أغنى الثراء إذا ضاق الصدر']
حكمة,['أعز مكان في الدنى سرج سابح']
حكمة,['لا تنطق بالسوء فكلنا ذو عيوب']
حكمة,['إذا كبرت النفس تعبت الأجسام']
حكمة,['الصبر يهون النوائب والعزم يلين الخشونة']
حكمة,['نصيبك من الحبيب كخيال في المنام']
حكمة,['شر البلاد مكان بلا صديق']
حكمة,['كل حلم بغير اقتدار حجة للئام']
حكمة,['العزائم على قدر أهل العزم']
حكمة,['الشباب لا يعود والوقت لا يرجع']
حكمة,['الشجاعة في الحكيم تغني عن كل شيء']
حكمة,['الموت آت والنفوس نفائس']
حكمة,['من يعرف الشمس لا ينكر مطالعها']
حكمة,['أتعب الخلق من زاد همه وقصر عمله']
حكمة,['في الناس من يرضى باليسير']
حكمة,['الفتى يلاقي المنايا ولا يلاقي الهوان']
حكمة,['ربما لا يعبر اللفظ عما في الفؤاد']
حكمة,['ليس الذي يتبع الأثر كمن جاءه رائده']
حكمة,['كلام الوشاة لا سلطان له على الأحباب']
حكمة,['لمن تطلب الدنيا إذا لم ترد بها سروراً']
حكمة,['اختلف الناس إلا على الشح والبغضاء']
حكمة,['خير الخلان من نفعك']
حكمة,['الزمان يحمل هواه مع الأخس']
حكمة,['السيف إن لم يكن حامله أمضى منه فهو زينة']
حكمة,['الحلم في المعيشة بؤسى والجهل عيش']
حكمة,['الصبر طيب وإن لم يكن فتصبر']
حكمة,['لولا البعد ما طلب التداني']
حكمة,['النجابة لا تتم إلا بنجيب الأصل']
حكمة,['لا تغل في جود الرجال']
حكمة,['البحر لا تسوغ جرعته لمرارتها']
حكمة,['لو فهم الناس التلاقي لحببوا التفرق']
حكمة,['العيش ما فارقته لهفاً']
حكمة,['التواضع والإنصاف مكرمة']
حكمة,['ما تنبت البطحاء إلا بوابل']
حكمة,['خفف الهموم تكن في راحة']
حكمة,['هل يمكن الأعداء وضع فضيلة قد ارتفعت']
حكمة,['إذا لم يجعل المرء غناه ذريعة للسؤدد فهو معدوم']
حكمة,['الشيب شر جديد والهرم شر منه']
حكمة,['الصديق ينسى بالصدود']
حكمة,['لا تنكر على جارك نقلة']
حكمة,['الحزم في الصدر السريع']
حكمة,['إذا صحت الروية فسواء الظن والعيان']
حكمة,['الدمع سيل إذا علّيته اندفع']
حكمة,['اختر العدم على ثراء يخزى مغبته']
حكمة,['من السفاهة البكاء على طلل خرب']
حكمة,['الدموع لا تشفي من الكمد']
حكمة,['ليس العلا بالثياب الفاخرة']
حكمة,['لا بد من ترك الشباب أو العمر']
حكمة,['حسب أخي النعمى شعر يخلد']
حكمة,['حسن الكواكب أن تطلع في ظلام الليل']
حكمة,['ربما عثر الجواد ونبا السيف']
حكمة,['لا تحسن الدنيا إلا بعمل صالح']
حكمة,['الشباب عدد من الأعداد']
حكمة,['الشكر في بعض الرجال أمانة']
حكمة,['الناس مختلفون كأصابع اليدين']
حكمة,['إذا راحت العين على الجوى فسرها ظاهر']
حكمة,['سأحمل نفسي عند المصائب كالسيف الهندي']
حكمة,['الناس ضربان مظهر مودة أو مضمر حسد']
حكمة,['لم أر الرجال تتفاوت مثلما يتفاوت الألف بواحد']
حكمة,['الناس إما واجد غير مالك أو مالك غير واجد']
حكمة,['ليس اللسان شاهد صدقة إنما القلب']
حكمة,['كتب الموت على الخلق فأفنى الدول']
حكمة,['ليس كل صابر يثاب']
حكمة,['الجمال جمال العقل والأدب']
حكمة,['الدنيا لا تبقى ولا الحي']
حكمة,['رأيت الدهر مختلفاً لا حزن يدوم ولا سرور']
حكمة,['القلوب إذا تنافر ودها كالزجاجة لا تجبر']
حكمة,['مارست الدهر فوجدته كالسيف لا يفرق']
حكمة,['بكل صروف الدهر عشت حقبة']
حكمة,['إذا أراد الله ذل قوم شتت هواهم']
حكمة,['في الدهر والأيام عبرة']
حكمة,['ماء الجفون ينزحه الهم']
حكمة,['أكرم نفسك إن أهنتها لن تكرم']
حكمة,['المنايا مقدرة']
حكمة,['النفس إن عمرت يوماً لها غالية']
حكمة,['ليس الميت من مات إنما الميت من يعيش ذليلاً']
حكمة,['لا تأمن الموت ولو كنت في حرم']
حكمة,['الجهل خفيف الحمل والحلم ثقيل']
حكمة,['النعيم يصير إلى بلى']
حكمة,['قد يجمع المال غير آكله']
حكمة,['البيت لا يبنى إلا بعمد']
حكمة,['لا الحِرص يُغني ولا اليأس يمنع']
حكمة,['إذا سلكت سبيلاً فامضِ به']
حكمة,['لا تجعل الباطل حقاً']
حكمة,['ليس الغنى بكثرة المال']
حكمة,['الخير خير وإن طال الزمان']
حكمة,['السعادة في التقوى لا في جمع المال']
حكمة,['ساعٍ يجمع المال ليرثه أعداؤه']
حكمة,['ما خير المعروف في الشباب إذا لم يزده الشيب']
حكمة,['صدق الأحلام والظن كاذب']
حكمة,['لكل شيء إذا تم نقصان']
حكمة,['دعيني للغنى أسعى فشر الناس الفقير']
حكمة,['لا تصحب الكسلان']
حكمة,['من السعادة أن تموت وقد مات حسادك']
حكمة,['ليس العجب من البكاء على الفقد']
حكمة,['ليس بنافع بخيل المال']
حكمة,['زيادة القول تدل على نقص العمل']
حكمة,['المرء يرفع نفسه بفعله']
حكمة,['اشاور غيرك وإن كنت من أهل المشورة']
حكمة,['الدهر يلعب بالفتى']
حكمة,['من جهل عادى العلم']
حكمة,['الهجران ما غيب القبر']
حكمة,['إذا جاوز السر اثنين شاع']
حكمة,['لمن الديار كأنها سطور']
حكمة,['لا خير فيمن لا يوطّن نفسه للنوائب']
حكمة,['القلب سمي لقلبه']
حكمة,['المرء في كف الزمان مقلوب']
حكمة,['كل عيش إلى زوال']
حكمة,['اقنع بحظك في الدنيا']
حكمة,['المرء حيث يجعل نفسه']
رومنسية,['وللقلوب لغات لا يدركها إلا فؤاد بنار الوجد']
رومنسية,['يا لائمي في الحب دعني فباليوم يزيد سعير الغرام']
رومنسية,['عيون المها بين الرصافة والجسر جلبت الهوى حيث أدري ولا أدري']
رومنسية,['خذ من صبا نجد أماناً لقلبه فقد كاد ريحها يطير بلبه']
رومنسية,['خير الخليلين من أغضى لصاحبه ولو أراد انتصاراً لانتصر']
رومنسية,['سرى طيف من أهوى فأرقني والحب يعترض اللذات بالألم']
رومنسية,['ليت الذي بيني وبينك عامر وبيني وبين العالمين خراب']
رومنسية,['إذا ما كتمت الحب كان شرارة وإن بحت بالكتمان كان ملاما']
رومنسية,['ذاق قيس من هواه صبابة وشربت أكواباً على أكواب']
رومنسية,['ويح قلبي من هوى ذي صلف ظالم في حكمه لو عدلا']
رومنسية,['سل الهوى ولبانات الفؤاد بها والقلب شاك من حبها شكع']
رومنسية,['وفي عشق المليح أرى طباقاً فكيف يفوتني هذا الطباق']
رومنسية,['ما بات قلبي بالغرام مقيداً إلا وعاد الدمع فيه طليقا']
رومنسية,['كم أسير في الحب من غير فاد وقتيل مضى عليه شهيدا']
رومنسية,['بذلت نفسي في هواه بذل من لم يأل في شرع الغرام جهدا']
رومنسية,['يا طيبها من ليلة لو لم تكن قصرت فريع تجمع بتفرق']
رومنسية,['نعلل النفس بالآمال تسلية لا النفس تسلو ولا الآمال تغني']
رومنسية,['فهم المحب جميع ما قد ضمه من نثر در فائق زاك جلي']
رومنسية,['كأن قلبي غداة البين مقتسم طارت به عصبة شتى لأمصار']
رومنسية,['ولكن غلبت الناس أن تتبع الهوى وفاءً يروق العين من كل رائق']
رومنسية,['يكلفني فؤادي من هواه ظعائن تجتزعن على رماح']
رومنسية,['فغرامي القديم فيكم غرامي وودادي كما عهدتم ودادي']
رومنسية,['لا ذاق قلبي من طلولك سلوة فهو الذي أغناك عن مغناك']
رومنسية,['أطع في حبيبك غش الهوى وعاص العذول إذا ما نصح']
رومنسية,['بنفسي حبيب لا يمل قطيعة على أنه ما كان فهو حبيب']
رومنسية,['يا من تغيرت الدنيا لبعدهم فكل رحب فسيح ضيق حرج']
رومنسية,['وقولا لها ليس الضلال أجازنا ولكننا جوزنا لنلقاكم عمدا']
رومنسية,['إذا ما شكا العشاق وجداً مبرحاً فكل الذي يشكونه بعض ما لقيا']
رومنسية,['ملأ الضلوع وفاض عن أحنائها قلب إذا ذكر الحبيب يذوب']
رومنسية,['وما العشق إلا موت نفس إذا دعا فإن نفوس العاشقين جواب']
رومنسية,['قرب فؤادك من قلبي معانقة لعل رقة ذاك القلب تعديكا']
رومنسية,['ليتهم لو سامحوني ساعة بحبيبي فاختلست النظر']
رومنسية,['وأبى الهوى إلا الحلول بلعلع ويح المطايا أين منها لعلع']
رومنسية,['شجاني غرام لو وفيتم ببعضه لقلب المعنى فيكم لشجاكم']
رومنسية,['وقبلت رسم الدار حباً لأهلها ومن لم يجد إلا صعيداً تيمما']
رومنسية,['والله لا علقت نفسي بغيركم ولا اتخذت سواكم منكم بدلا']
رومنسية,['ما أحرم النوم أجفاني وحرمه إلا تغيبكم يا حاضري الحرم']
رومنسية,['فقضى حق هواه إذا قضى فعليه ناد في الأحياء حيه']
رومنسية,['لي حبيب فداه كل حبيب ليس إلا به الحياة تطيب']
رومنسية,['إذا كنت لست معي فالذكر منك معي يراك قلبي وإن غيبت عن بصري']
رومنسية,['إلى الله أشكو طوع نفسي للهوى وإسرافها في غيها وعيوبها']
رومنسية,['لي من هواك بعيده وقريبه ولك الجمال بديعه وغريبه']
رومنسية,['جرى الحب في قلبي كما العلو في الأرض وأبدي من بعضي وأخفي في بعضي']
رومنسية,['إذا غابت فقلبي غائب لست أدري كيف قلبي عقني']
رومنسية,['يا حبيبي هواك أضنى فؤادي وكأن الجوى بجسمي حراب']
رومنسية,['وأفجع الناس من ولى حبائبه ولا عانق ولا ضم ولا قبل']
رومنسية,['شكوت إليها لوعة الحب فانثنت تقول لتربيها وما لوعة الحب']
رومنسية,['بان الحبيب وبان الصبر يتبعه لا أستطيع لصبر بعده طلبا']
رومنسية,['صل من هويت ودع مقالة حاسد ليس الحسود على الهوى بمساعد']
رومنسية,['جعلت نفسي لك وقفاً عندي وما أراك تحفظين ودّي']
رومنسية,['ما للقلوب عن الحبيب غطاء إلا إذا سكنت بها الأشياء']
رومنسية,['ما لي أرى القلب في عينيك يلتهب أليس للنار يا أخت الشقا سبب']
رومنسية,['باح الفؤاد بسر كنت أخفيه فكيف يخفى الهوى والشوق يبديه']
رومنسية,['وترمي بعينيها القلوب إذا بدت لها فقرة لم تخط منهن مقتلا']
رومنسية,['ليس الجمال بمئزر فاعلم وإن رديت بردا إن الجمال معادن ومناقب']
رومنسية,['ألا ليت لي قلبين قلب بحبهم مريض وقلب بعد ذاك طبيب']
رومنسية,['وما هجرتك النفس يا ليل إنها قلتك ولكن قل منك نصيبها']
رومنسية,['فيا رب إن كنت قدرت أن ترى كربتي فوق كل الكرب']
رومنسية,['سمحت بقلبي والهوى يورث الفتى طباع الجواد المحض وهو بخيل']
رومنسية,['عشنا إلى أن رأينا في الهوى عجبا كل الشهور وفي الأمثال عش رجبا']
رومنسية,['هلموا فعندي للمحبة والهوى سقام غرام لا أحسن طبّه']
رومنسية,['سأسعف قلبي في الهوى بعذابه وأترك ذكري خالداً بذهابه']
رومنسية,['جاريت في الحب إطلاقا بلا أمد فها أنا سابق العشاق بالكمد']
رومنسية,['يا قلب ثق إن الحبيب مخير سكناه عندك وهو نحوك يصرخ']
رومنسية,['أرى القلب أمسى بالأناس مولعاً وإن كان من عهد الصبا قد تمتعا']
رومنسية,['إذا زار الحبيب أثار شوقاً تفتت من حرارته العظام']
رومنسية,['يا من لقلب في الهوى متشعب بل من لقلب بالحبيب عميد']
رومنسية,['فإني محب كما قد عهدت ولكن حبك شيء عجب']
رومنسية,['يقولون لي أخف الهوى لا تبح به وكيف وطرفي بالهوى يتكلم']
رومنسية,['يا حاضراً في فؤادي بالفكر فيكم أطيب إن لم يزر شخص عيني فالقلب عندي ينوب']
رومنسية,['أوما ترى الدنيا وجامع حسنه صغرى لديه وهي تعظم شأنه']
رومنسية,['أذابت قلبه الزفرة وأدمت خده العبرة وهل يطمع في الصبر عميد باعه صبره']
رومنسية,['إن الزمان استقاد منك ومني سلم لغير الزمان يستقد']
رومنسية,['لو أن عذالي لوجهك أسلموا لرجوت أني في المحبة أسلم']
رومنسية,['ناديته بانكساري إذ أودعه يا باحلا وجميل الصبر يتبعه']
رومنسية,['يا صاح ليس على المحب ملامة إن لاح في أفق الوصال صباح']
رومنسية,['كل أمري في الهوى عجب وخلاصي منه أعجبه']
رومنسية,['ولا خير في الدنيا إذ أنت لم تزر حبيباً ولم يطرب إليك حبيب']
رومنسية,['لئن ساءني أن نلتني بمساءة لقد سرني أني خطرت ببالك']
رومنسية,['يا من أبحت حمى قلبي مودته ومن جعلت له أحشاي أوطانا']
رومنسية,['هو الحب لا فيه معين ترجاه ولا منقذ من جوره تتوخاه']
رومنسية,['ومدمن الخمر يفيق بعد سكرته وصاحب الحب يلقى الدهر سكرانا']
دينية,['شهر الصيام كرمت نزيلا ثم رحيلا']
دينية,['لأحمد في الذكر وصف عظيم رسول نبيه رؤوف رحيم']
دينية,['إن ضاق بك الزمان فذكر محمد روضة يتضوع']
دينية,['توكل بالتقوى إلى الله صادقاً وخلى عن الدنيا']
دينية,['بأسمائك الحسنى التي بعض وصفها يملأ النثر والنظما']
دينية,['أعد لله يوم يلقاه داعياً لا إله إلا هو']
دينية,['سهل عليك يا إله العالمين واغفر لعبدك المجرمين']
دينية,['كتب الأنبياء صلاة دائمة تترى']
دينية,['هز اللواء بعزك الإسلام وعنت لقائم سيفك الأيام']
دينية,['الحمد لله على ما نرى كل من احتيج إليه زها']
دينية,['إن الذين استحلوا الفاحشة من المحارم قوم منافقون']
دينية,['سهام الليل لا تخطي ولكن لها أمد وانقضاء']
دينية,['صلى الإله على المبارك أحمد']
دينية,['كل مودة لله تصفو ولا يصفو مع الفسق إخاء']
دينية,['كل الحادثات إذا تناهت فبها فرج قريب']
دينية,['إن ضاقت بك الأحوال فثق بالواحد الفرد العلي']
دينية,['الرب باق والخلائق فانية منه القضايا نافذات']
دينية,['الدين الحنيف مطهر لعادات شعب تشربوا هديه']
دينية,['وأضاء الكون نور سناهم يهدي الجميع']
دينية,['نفسي فداء رسول الله الذي لا الغدر شيمته']
دينية,['الجأ إليه إذا عرتك ملمة يعصمك إيواء له']
دينية,['قلت لنفسي لا تراعي أزمة فكم فرج الله كرباً']
دينية,['أنت مبعوث إلى الأنام بدين إبراهيم الحنيف']
دينية,['أباحوا المحظورات حراماً وحالوها لأنفسهم حلالا']
دينية,['مولاي إني عليك معتمد فجود بفضل علي']
دينية,['رأيت بني الأيام حراك ثم سكون فما قدر يكون']
دينية,['يا رب إن عظمت ذنوبي فلقد علمت أن عفوك أعظم']
دينية,['حسبي إذا أوجعتني كربة بمنقذ يونس']
دينية,['من استعان بغير الله لم يعن ومن تعزز بالرحمن لم يهن']
دينية,['يا رسول الله يا أشرف الورى تملكني صدق الوداد']
دينية,['مدح النبي أمان الخائف فامدحه ولا تشبب بأوطان']
دينية,['أتعلم ملك الحبش أن محمداً نبياً كموسى والمسيح']
دينية,['يا رب جنبنا مذلة حاجة تنال بماء الوجه']
دينية,['أدبت نفسي فما وجدت لها غير تقوى الإله أدب']
دينية,['لست أنسى زماناً قد سلف فيك يا مكة بالعيش الهني']
دينية,['الحمد لمن أنار قلبي وهدى والشكر لما فيه من الشوق']
دينية,['إن كنت ترجو النجاة من النار فاقصد رب الخلق ضارعاً']
دينية,['لقد شقيت شقاءً لا انقطاع له إن لم أفز فوزة تنجي']
دينية,['لك الحمد مولانا على كل نعمة وشكراً لما أوليت']
دينية,['قد يسكت السيف والأقلام ناطقة والسيف في لغة الأقلام لحان']
دينية,['يا بائع الدين بالدنيا وباطلها حتى متى أنت في لهو']
أخلاق,['أعف عن مدح العظام صيانة للنفس']
أخلاق,['ليس أخي من ودني رأى عينه بل من ودني في المغيب']
أخلاق,['أعطي المال من ليس سائلاً وأدرك المعاند بالظلم']
أخلاق,['كريم على العلل جزل عطاؤه']
أخلاق,['رأيت الجهل فاشياً فتجاهلت حتى ظنني جاهل']
أخلاق,['لي منزل إن زرته لم تلق إلا كرمك']
أخلاق,['تراه إذا جئته متهللاً كأنك معطيه الذي تسأله']
أخلاق,['كملت فيه النهى لا يسر بالنعيم']
أخلاق,['أحسن إلى الناس تستعبد قلوبهم']
أخلاق,['لكن عفونا وكان العفو عادتنا']
أخلاق,['أودك وداً لا الزمان يبيده']
أخلاق,['رب أخ وفيت له بحق ولكن لا يدوم وفاؤه']
أخلاق,['إن تسألني كيف أنت فإني صبور على الزمان']
أخلاق,['إن ضاق رزق اليوم فاصبر إلى غد']
أخلاق,['صبراً على حدثان الهر ولا تبت ذا هم']
أخلاق,['من العجائب عتبي على زاغ بغير خلاق']
أخلاق,['ليس بمحمود من جزى بسيء ما يأتي']
أخلاق,['أما والذي لا يعلم الغيب غيره كنت أطوي البطن مخافة اللئيم']
أخلاق,['ما اشتكيت جارتي إلا إذا غاب بعلها']
أخلاق,['لا تظهرن ذم امرئ قبل خبره']
أخلاق,['كانت النفس لو ساموا الفداء بك سمحة']
أخلاق,['ليس أخوك الدائم العهد بالذي يذمك إن ولى']
أخلاق,['إذا طبخت بناره نضجته']
أخلاق,['أهين المال بين قومي وأدفع عنهم المنح']
أخلاق,['ابت لي عفتي وأخذي الحمد بالثمن']
أخلاق,['العفو عن الأكفاء مكرمة']
أخلاق,['البس عدوك في رفق وده لباس ذي إربة']
أخلاق,['إن جزعنا فالشروع أجزعنا وإن صبرنا فإنا صبر']
أخلاق,['نقود ونأبى أن نقاد ولا نرى لقوم فضلاً']
أخلاق,['أكرم الضيف فإن مبيته حق']
أخلاق,['ومن خلق العفاف لنا رقيب بطهر الحب']
أخلاق,['اذكرونا مثل ذكرانا لكم']
أخلاق,['ما كان ذنبي فيهم إلا أن بسطت يداً']
أخلاق,['إذا المرء لم يدنس من اللؤم عرضه فكل رداء جميل']
أخلاق,['إذا سيد منا خلا قام سيد']
أخلاق,['وفي الأرض منأى للكريم عن الأذى']
أخلاق,['اليوم أجهد نفسي ما وسعت لكم']
أخلاق,['ذراني تجد كفي بمالي فإني لا أبقى بخيلاً']
أخلاق,['فما كل من تنأى به الدار غائب']
أخلاق,['فإما أن تكون أخي بحق وإلا فاطرحني']
أخلاق,['أكرموا الضيف واحفظوا حرمة الجار']
أخلاق,['إذا لم أنفع خليلي بوده فعدوي لا يضرهم بغضي']
أخلاق,['إذا لم تكن لقول النصيح سمعاً فسينبهك الدهر']
أخلاق,['ألا إنما كسب المكارم عادة']
أخلاق,['لكل كريم في البلاد أخلة']
أخلاق,['لك الخير غضي اللوم عني فإني أحب الجميل']
أخلاق,['وإني لعف عن مطاعم تتقى']
أخلاق,['وما تكتم من خلق وإن خال يخفى يعلم']
أخلاق,['لا تقل أصلي وفصلي إنما أصل الفتى ما قد حصل']
أخلاق,['سلام على من لا يرد سلامي']
أخلاق,['أيها اللائمون ماذا عليكم أن أعيش بدائي']
أخلاق,['من راقب الناس مات غماً']
أخلاق,['وإني لذو رأي يعاش بفضله']
أخلاق,['تأبى صروف الليالي أن تديم حالاً فصبراً']
أخلاق,['ملكت نفسي مذ هجرت طمعي']
أخلاق,['وما حسن أن يمدح المرء نفسه']
حب,['إذا الحبيب أتى بذنب جاءت محاسنه بشفيع']
حب,['حب القتول فلاس فلا ينصبك حب مفلس']
حب,['هذا في الهوى شر بدعة ومبتدعوها خبائث']
حب,['شفاء الحب حب آخر أو نأي على هجر']
حب,['هل كان سر الحب إلا مضمروا فغدت صفاتك تفشيه']
حب,['الأصل في الحب نظرة فنمت وعادت علة']
حب,['بحبك كم عذول لامني وطيفك زارني']
حب,['جرى قلم السعادة باسم ليلى فطاب عيشي']
حب,['زادني كلفاً في الحب أن منعت محبوبي']
حب,['علقت الهوى ولداً فلم يزل حبها يزيد']
حب,['إن قلت ردي بعض عقلي تولت وقالت بعيد']
حب,['لا خير في الدنيا إن لم تزر حبيباً']
حب,['ما كان للأحزان لولاك مسلك إلى القلب']
حب,['إذا الليل أضواني بسطت يد الهوى وأذللت دمعاً']
حب,['حاربت قومي في هواك ولولا حبك الماء والخمر']
حب,['ليس خليلي بالملول ولا الذي إذا غبت باعني']
حب,['يا رب لا تسلبني حبها أبداً وارحم قائل آمين']
حب,['تحمل ذنب من تحبه وإن كنت مظلوماً فقل ظالم']
حب,['إذا هممت بوصل غيرك ردني له إليك']
حب,['يا نائماً أيقظني حبه هب لي رقاداً']
حب,['أتاني هواها قبل أن أعرف الهوى فتمكنا']
حب,['أرى النفس عن ليلى أبت أن تطيعني']
حب,['أغار على ما بيننا أن يناله لسان عدو']
حب,['إنك في عيني أبهى من الغنى وفي قلبي أحلى من النصر']
حب,['قليل الحب بالعقل صالح وكثيره بالجهل فاسد']
حب,['الحب ليس رواية بختامها يتزوج الأبطال']
حب,['نقل فؤادك حيث شئت ما الحب إلا للحبيب الأول']
حب,['تعلق قلبي طفلة عربية لها عين تفتن الراهب']
حب,['لم أر بدراً ضاحكاً قبل وجهها ولم تر قبلي ميتاً يتكلم']
حب,['ولي فؤاد إذا طال العذاب طار اشتياقاً']
حب,['لو أنني أستغفر الله كلما ذكرتك لم تكن ذنوب']
حب,['ما الحب إلا طاعة وتجاوز وما هو إلا العين بالعين']
تفاؤل,['يا رب إني تائب فأقبل توبتي ويسر أموري']
تفاؤل,['لا ينعم المرء بلا أمل وأنت الغوث والمدد']
تفاؤل,['إني لآمل منك خيراً عاجلاً والنفس مولعة']
تفاؤل,['كأن الليل زيد إليه ليل مقيم فاستمر على الشجي']
تفاؤل,['وأجمل أيام الفتى زمن الصبا وخير الصبا ناميا']
تفاؤل,['رابه علتي ضناً فأتاني عائداً بيسر']
تفاؤل,['تفاءلت للمولود فبشر بابن اسمه يحيى']
تفاؤل,['وقد تفاءلت له زاجراً كنته لا ثعلبا']
تفاؤل,['يا مهدياً لي بنفسجاً يرتاح صدري']
تفاؤل,['إنما الموز حين تمكن منه فهو الفوز']
